#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Star Wars (1987);Star Wars (1987);Visual Pinball;;;;;1;;;;;;;Star Wars;;;;;;
Star Wars (1992);Star Wars (1992);Visual Pinball;;;;;;;;;;;;;;;;;;
Star Wars Empire Strikes Back, The (1980);Star Wars Empire Strikes Back, The (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Star Wars Trilogy (1997);Star Wars Trilogy (1997);Visual Pinball;;;;;1;;;;;;;Star Wars Trilogy;;;;;;
Stingray (1977);Stingray (1977);Visual Pinball;;;;;;;;;;;;;;;;;;
Strange World (1978);Strange World (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Stranger Things (2019);Stranger Things (2019);Visual Pinball;;;;;;;;;;;;;;;;;;
Street Fighter 2 (1993);Street Fighter 2 (1993);Visual Pinball;;;;;2;;;;;;;Street Fighter II;;;;;;
Striker Xtreme (2000);Striker Xtreme (2000);Visual Pinball;;;;;;;;;;;;;;;;;;
Strikes 'N Spares (1995);Strikes 'N Spares (1995);Visual Pinball;;;;;;;;;;;;;;;;;;
Sultan (1979);Sultan (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Super Mario Bros Mushroom World (1992);Super Mario Bros Mushroom World (1992);Visual Pinball;;;;;;;;;;;;;;;;;;
Super Mario Brothers (1992);Super Mario Brothers (1992);Visual Pinball;;;;;;;;;;;;;;;;;;
Super Nova (1980);Super Nova (1980);Visual Pinball;;;;;1;;;;;;;Super Nova;;;;;;
